id,name,absolute_magnitude,is_potentially_hazardous_asteroid,diameter_km_min,diameter_km_max,close_approach_date,rel_km_s,miss_km
2163001,163001 (2001 SE170),18.41,False,0.5527833794,1.2360612132,1905-10-11,10.0563100047,56556170.47335422
2163014,163014 (2001 UA5),17.75,True,0.7491261831,1.6750970692,1904-01-02,9.0359575905,23728196.544768687
2163191,163191 (2002 EQ9),19.43,False,0.3455850738,0.7727517171,1900-05-21,11.0737188007,44287235.815739416
2163335,163335 (2002 LJ),17.19,False,0.9695159909,2.167903661,,,
2163693,163693 Atira (2003 CP20),16.41,False,1.3885290704,3.1048453901,1912-03-04,20.0610936,18464847.366752405
2163694,163694 (2003 DP13),17.5,False,0.8405334021,1.8794898244,1909-06-29,12.7615596983,14427999.857676076
2164121,164121 (2003 YT1),16.15,True,1.5651464359,3.4997738255,1901-04-26,23.2090832806,7348389.223100334
2164184,164184 (2004 BF68),19.47,False,0.3392774354,0.7586474087,1900-06-19,14.5002208185,24453163.51560525
2164202,164202 (2004 EW),20.91,True,0.1748054532,0.3908768761,1929-02-02,10.3671044695,15167179.553669432
2164214,164214 (2004 LZ11),19.27,False,0.3720103103,0.8318403423,1930-09-10,0.2620367202,67158914.27367876
2164216,164216 (2004 OT11),17.28,True,0.930154254,2.0798881414,1906-08-05,19.3496868971,28672711.597199652
2164221,164221 (2004 QE20),20.43,False,0.2180494405,0.4875733714,1906-06-13,5.4817999425,70269535.29220593
2164342,164342 (2005 CP),20.99,False,0.1684825693,0.3767384779,1940-07-05,18.4104657856,67498119.26090029
2168378,168378 (1997 ET30),16.91,False,1.1029478453,2.4662663578,1988-08-29,8.7477391498,9389942.513756217
2163373,163373 (2002 PZ39),19.03,True,0.4154846434,0.9290519063,1911-06-26,10.5743710996,10500878.586458847
2163683,163683 (2002 YP2),19.05,True,0.4116754573,0.9205343072,1925-05-15,21.4584080827,17861913.586786445
2163691,163691 (2003 BB43),17.09,False,1.0152078719,2.2700738128,,,
2163696,163696 (2003 EB50),16.53,False,1.313877806,2.9379200884,1950-11-30,24.5947832875,24419350.372802544
2163758,163758 (2003 OS13),17.42,False,0.8720772891,1.9500241,1901-09-16,34.2467482098,15540706.825084403
2163818,163818 (2003 RX7),18.46,True,0.5402004935,1.207925025,1903-04-26,13.7968573457,22534320.495779593
2164206,164206 (2004 FN18),17.67,False,0.777239702,1.7379608086,1903-11-08,11.6952519057,16730314.951560909
2164207,164207 Cardea (2004 GU9),21.19,True,0.1536579294,0.3435895754,1900-10-22,7.5612148212,21568609.44261835
2164222,164222 (2004 RN9),20.85,False,0.1797028549,0.4018277992,1919-08-30,7.942214437,66452007.17658264
2168318,168318 (1989 DA),18.91,True,0.439091446,0.9818383215,1914-08-14,2.7025313666,266464142.50951028
2169675,169675 (2002 JM97),16.67,False,1.2318419127,2.7544822542,1919-01-11,3.7086872403,205576241.11024016
2163412,163412 (2002 RV25),17.36,False,0.8965096664,2.0046565566,1915-10-23,18.2946820332,56569366.36682884
2163667,163667 (2002 WC1),19.88,False,0.2809020939,0.6281161771,1901-12-28,5.2387957124,233269059.8510015
2163679,163679 (2002 XG84),19.29,False,0.3685996993,0.8242139842,1907-08-31,9.8391437969,25730904.295074
2163692,163692 (2003 CY18),18.27,False,0.5895966084,1.3183780956,1907-05-23,11.1142579192,16353107.632383084
2163697,163697 (2003 EF54),20.08,True,0.2561857545,0.5728487619,1901-03-31,16.7100639828,25754647.13757936
